node	label	network	degree	strength	betweenness	weighted_clustering	eigenvector_centrality	community	hub_score	hub_rank
54	RH_Vis_5	Vis	12	7.76997325	0.00000000	0.73794900	0.14327130	3	-0.11456747	51
63	RH_SomMot_6	SomMot	16	8.01390424	0.00907029	0.36840311	0.05613968	2	-0.14718924	52
13	LH_SomMot_5	SomMot	16	8.41840734	0.00577201	0.43001773	0.06079553	2	-0.15515814	53
52	RH_Vis_3	Vis	14	7.13215091	0.00927644	0.33404722	0.08678893	3	-0.16493199	54
72	RH_DorsAttn_FEF_1	DorsAttn	16	7.80639474	0.01133787	0.24887082	0.04180186	2	-0.18943554	55
3	LH_Vis_4	Vis	14	7.08281272	0.00041229	0.51581385	0.11852647	3	-0.19173491	56
75	RH_SalVentAttn_FrOperIns_1	SalVentAttn	15	7.87261413	0.00968872	0.39060262	0.04718199	2	-0.23728517	57
59	RH_SomMot_2	SomMot	16	8.57835708	0.00000000	0.48174454	0.06374053	2	-0.24165221	58
10	LH_SomMot_2	SomMot	16	8.41203265	0.00000000	0.46170293	0.06436064	2	-0.25304338	59
29	LH_SalVentAttn_Med_3	SalVentAttn	15	6.96575242	0.01278087	0.31885436	0.04577041	2	-0.26118488	60
47	LH_Default_PFC_7	Default	14	7.01442885	0.00020614	0.43223566	0.10386338	1	-0.27261760	61
23	LH_SalVentAttn_ParOper_1	SalVentAttn	15	7.30018907	0.00721501	0.34748235	0.04431475	2	-0.34976366	62
25	LH_SalVentAttn_FrOperIns_2	SalVentAttn	13	6.87913386	0.01401773	0.42163098	0.03879935	2	-0.37152416	63
86	RH_Cont_Cing_1	Cont	11	5.87162050	0.01010101	0.46242975	0.08585391	1	-0.40268269	64
82	RH_Cont_PFCl_1	Cont	11	5.74971322	0.01607916	0.30026044	0.05405852	1	-0.44825662	65
35	LH_Cont_pCun_1	Cont	11	6.05318195	0.00577201	0.44578716	0.08860053	1	-0.45962459	66
73	RH_SalVentAttn_TempOccPar_1	SalVentAttn	10	5.00124388	0.02205731	0.26067760	0.04983332	1	-0.46162120	67
89	RH_Default_Par_1	Default	12	5.78754674	0.00474129	0.35487512	0.08698619	1	-0.46401525	68
46	LH_Default_PFC_6	Default	12	5.99257534	0.00639043	0.33014253	0.06649032	1	-0.51261377	69
36	LH_Cont_Cing_1	Cont	11	5.61579268	0.00742115	0.36425853	0.07670428	1	-0.52223087	70
71	RH_DorsAttn_PrCv_1	DorsAttn	12	5.52965288	0.01772830	0.20003738	0.02300886	2	-0.53779125	71
28	LH_SalVentAttn_Med_2	SalVentAttn	11	5.29824406	0.00948258	0.31528078	0.06913788	1	-0.54535794	72
68	RH_DorsAttn_Post_3	DorsAttn	11	5.38491112	0.01814059	0.23943943	0.02857118	4	-0.56209382	73
31	LH_Limbic_TempPole_1	Limbic	12	5.57735104	0.00267986	0.40334500	0.07726968	1	-0.57008098	74
33	LH_Cont_Par_1	Cont	11	5.24678921	0.01381159	0.23433693	0.04098140	4	-0.59998128	75
22	LH_DorsAttn_FEF_1	DorsAttn	12	5.68165214	0.00907029	0.24122719	0.03313654	2	-0.64753812	76
20	LH_DorsAttn_Post_6	DorsAttn	12	5.92876061	0.00494743	0.34092647	0.03378574	2	-0.70485599	77
18	LH_DorsAttn_Post_4	DorsAttn	12	5.81954616	0.00515358	0.30683590	0.03233881	2	-0.71720623	78
67	RH_DorsAttn_Post_2	DorsAttn	11	5.57443689	0.01030715	0.30838721	0.02506751	2	-0.71811594	79
27	LH_SalVentAttn_Med_1	SalVentAttn	9	4.41900013	0.02123274	0.21555920	0.01973651	2	-0.72068258	80
93	RH_Default_PFCv_1	Default	11	5.28658710	0.00267986	0.35615106	0.05639831	1	-0.74296834	81
12	LH_SomMot_4	SomMot	11	5.83313005	0.00020614	0.62613226	0.04502862	2	-0.79974367	82
41	LH_Default_PFC_1	Default	10	4.93300585	0.00432900	0.36235498	0.05021834	1	-0.81754475	83
24	LH_SalVentAttn_FrOperIns_1	SalVentAttn	11	5.37020447	0.00000000	0.55188670	0.03800840	2	-0.87781519	84
21	LH_DorsAttn_PrCv_1	DorsAttn	9	4.31928893	0.01195630	0.20658503	0.02045434	4	-0.90996274	85
61	RH_SomMot_4	SomMot	10	5.30509272	0.00000000	0.64266736	0.04189780	2	-0.91149853	86
84	RH_Cont_PFCl_3	Cont	7	3.14182457	0.02391260	0.07981972	0.00828640	1	-0.92702364	87
16	LH_DorsAttn_Post_2	DorsAttn	10	4.98057234	0.00412286	0.26977891	0.02100951	2	-0.95870470	88
53	RH_Vis_4	Vis	8	3.97433461	0.00000000	0.61105518	0.06840440	3	-0.99219952	89
79	RH_Limbic_TempPole_1	Limbic	8	3.71162848	0.00000000	0.48834129	0.05192188	1	-1.09459547	90
64	RH_SomMot_7	SomMot	9	4.29083050	0.00020614	0.42853666	0.02574878	2	-1.12005726	91
94	RH_Default_PFCv_2	Default	7	3.33483765	0.00680272	0.20219631	0.02043793	1	-1.19119740	92
87	RH_Cont_PFCmp_1	Cont	6	2.87900759	0.00927644	0.11824134	0.01884227	1	-1.23609399	93
34	LH_Cont_PFCl_1	Cont	6	3.01452211	0.00700886	0.23841695	0.01640043	4	-1.28118174	94
50	RH_Vis_1	Vis	6	2.92920034	0.00144300	0.36438130	0.04053325	3	-1.28238929	95
83	RH_Cont_PFCl_2	Cont	6	2.91749120	0.00371058	0.27184016	0.01032968	4	-1.38438551	96
26	LH_SalVentAttn_PFCl_1	SalVentAttn	5	2.33047385	0.00845187	0.16699808	0.00998377	2	-1.38958211	97
0	LH_Vis_1	Vis	5	2.55729079	0.00000000	0.51778790	0.03631310	1	-1.41045294	98
78	RH_Limbic_OFC_1	Limbic	5	2.34284845	0.00103072	0.39453307	0.02276787	1	-1.47401781	99
80	RH_Cont_Par_1	Cont	1	0.41053124	0.00000000	0.00000000	0.00037659	1	-1.95726957	100
